Company_ID,Sector,Country,R&D_Spend,Marketing_Spend,Admin_Cost,Employee_Count,Revenue_Last_Year,Years_Active,Profit_Margin,Revenue_Growth
1,Finance,USA,76753.71563849953,113506.25924903374,41897.86070030742,229,381010.99277152575,9,0.19021621384320272,0.7048725297638959
2,Health,Japan,55874.74954079217,85372.57648356503,48265.77595141379,103,287347.69245021435,11,0.0,0.5208284347484351
3,Energy,Japan,82771.92965364884,50806.43109702757,40490.960948000466,112,559447.4375675786,5,0.19047343265389108,0.7192664537540631
4,Health,Japan,128221.55283858265,33250.92726541021,46304.46164433152,232,484633.30004928884,3,,0.6861722840819987
5,Finance,USA,53259.06546938102,74528.28436094057,,195,285484.07446019864,17,0.060530680187038374,0.516134104992065
6,Finance,Japan,53259.50266882978,62074.54194261019,52559.52448847526,193,291493.0397974948,2,0.1681097093431683,0.4525267207943746
7,Tech,UK,131874.55486212557,83877.77276399582,50014.465704346694,171,379646.5211201624,1,0.22360447473810824,0.7242252521217766
8,Finance,India,87879.10697482404,71761.47714288485,40194.93642718171,256,436253.808793443,7,0.18985561430156414,0.7089715255646762
9,Health,India,47347.19262683412,92017.27675276356,57910.94802118886,40,168957.67540511867,14,0.10238814188098418,0.4649420049445472
10,Tech,Japan,78533.45739265763,35555.81068976762,61250.8416515187,61,157089.96277162508,5,0.1509285250158781,0.3522507152463523
11,Finance,India,47490.793661914875,,,85,250237.21555564948,19,0.20112498518408392,0.5474368167159889
12,Finance,India,47435.92458299541,55191.25317944427,40847.30265720543,287,346619.00665390916,11,0.15416164239523544,0.514842908013307
13,Energy,Japan,67574.17320049589,170272.6957633032,,49,339749.88724060776,2,0.23779994223748266,0.7930944023830792
14,Tech,Japan,23002.538943600946,32418.590209884114,38721.162786693625,110,385581.716398708,8,0.1776977089788076,0.40760406350768064
15,Energy,UK,25274.2427686738,138909.55014176507,59953.698103180985,120,204024.19773077534,9,0.20270458657014817,0.5512071699998644
16,Energy,Germany,45200.17490441385,55201.558749252385,47674.08633472636,258,114708.49096248986,3,0.2074980452894232,0.31461981916984
17,Energy,USA,36083.26414852113,33161.64439815378,46825.82190427267,200,368641.13562417164,2,0.07533221076858958,0.4504965147294182
18,Retail,Japan,70061.1468597906,36668.32196426466,25953.651627118958,191,233744.29816278123,7,0.15349902247496752,0.3999877621725477
